Year,Month,Day,Category,Material Type,Weight (lbs),Vendor,Date Updated,Cost,Notes
2022,may,5,landfill,l-landfill,13300.0,mission trail,1/27/2023,1438.53,500 el camino real
2022,may,9,landfill,l-landfill,13920.0,mission trail,1/27/2023,1455.94,500 el camino real
2022,may,12,landfill,l-landfill,15140.0,mission trail,1/27/2023,1490.21,500 el camino real
2022,may,16,landfill,l-landfill,13320.0,mission trail,1/27/2023,1439.09,500 el camino real
2022,may,19,landfill,l-landfill,14280.0,mission trail,1/27/2023,1466.05,500 el camino real
2022,may,23,landfill,l-landfill,16540.0,mission trail,1/27/2023,1529.53,500 el camino real
2022,may,26,landfill,l-landfill,11900.0,mission trail,1/27/2023,1399.21,500 el camino real
2022,may,30,landfill,l-landfill,13680.0,mission trail,1/27/2023,1449.2,500 el camino real
2022,may,3,recycle,r-mixed recycling,7640.0,mission trail,1/27/2023,1465.84,500 el camino real
2022,may,6,recycle,r-mixed recycling,6980.0,mission trail,1/27/2023,1461.88,500 el camino real
2022,may,10,recycle,r-mixed recycling,5200.0,mission trail,1/27/2023,1451.2,500 el camino real
2022,may,13,recycle,r-mixed recycling,7400.0,mission trail,1/27/2023,1464.4,500 el camino real
2022,may,17,recycle,r-mixed recycling,7640.0,mission trail,1/27/2023,1465.84,500 el camino real
2022,may,20,recycle,r-mixed recycling,9040.0,mission trail,1/27/2023,1474.24,500 el camino real
2022,may,24,recycle,r-mixed recycling,8660.0,mission trail,1/27/2023,1471.96,500 el camino real
2022,may,27,recycle,r-mixed recycling,7320.0,mission trail,1/27/2023,1463.92,500 el camino real
2022,may,31,recycle,r-mixed recycling,4780.0,mission trail,1/27/2023,1448.68,500 el camino real
2022,sep,6,compost,c-yardwaste,6880.0,mission trail,1/27/2023,952.74,500 el camino real
2022,sep,9,compost,c-yardwaste,5060.0,mission trail,1/27/2023,907.76,500 el camino real
2022,sep,15,compost,c-yardwaste,6500.0,mission trail,1/27/2023,943.35,500 el camino real
2022,sep,23,compost,c-yardwaste,7480.0,mission trail,1/27/2023,967.57,500 el camino real
2022,sep,1,landfill,l-landfill,5200.0,mission trail,1/27/2023,1311.45,500 el camino real
2022,sep,1,landfill,l-landfill,6740.0,mission trail,1/27/2023,1356.09,500 el camino real
2022,sep,8,landfill,l-landfill,19540.0,mission trail,1/27/2023,1727.16,500 el camino real
2022,sep,12,landfill,l-landfill,8100.0,mission trail,1/27/2023,1395.52,500 el camino real
2022,sep,15,landfill,l-landfill,8120.0,mission trail,1/27/2023,1396.1,500 el camino real
2022,sep,16,landfill,l-landfill,8100.0,mission trail,1/27/2023,1395.52,500 el camino real
2022,sep,19,landfill,l-landfill,11020.0,mission trail,1/27/2023,1480.17,500 el camino real
2022,sep,22,landfill,l-landfill,13580.0,mission trail,1/27/2023,1554.38,500 el camino real
2022,sep,26,landfill,l-landfill,15040.0,mission trail,1/27/2023,1596.71,500 el camino real
2022,sep,29,landfill,l-landfill,13300.0,mission trail,1/27/2023,1546.27,500 el camino real
2022,sep,8,recycle,r-mixed recycling,12440.0,mission trail,1/27/2023,1622.24,500 el camino real
2022,sep,12,recycle,r-mixed recycling,6280.0,mission trail,1/27/2023,1585.28,500 el camino real
2022,sep,15,recycle,r-mixed recycling,7280.0,mission trail,1/27/2023,1591.28,500 el camino real
2022,sep,16,recycle,r-mixed recycling,11740.0,mission trail,1/27/2023,1618.04,500 el camino real
2022,sep,19,recycle,r-mixed recycling,11080.0,mission trail,1/27/2023,1614.08,500 el camino real
2022,sep,22,recycle,r-mixed recycling,10940.0,mission trail,1/27/2023,1613.24,500 el camino real
2022,sep,26,recycle,r-mixed recycling,9340.0,mission trail,1/27/2023,1603.64,500 el camino real
2022,sep,29,recycle,r-mixed recycling,7760.0,mission trail,1/27/2023,1594.16,500 el camino real
2022,oct,3,compost,c-yardwaste,12660.0,mission trail,1/27/2023,1095.59,500 el camino real
2022,oct,12,compost,c-yardwaste,13200.0,mission trail,1/27/2023,1108.94,500 el camino real
2022,oct,19,compost,c-yardwaste,9620.0,mission trail,1/27/2023,1020.46,500 el camino real
2022,oct,31,compost,c-yardwaste,9400.0,mission trail,1/27/2023,1015.02,500 el camino real
2022,oct,3,landfill,l-landfill,14740.0,mission trail,1/27/2023,1588.01,500 el camino real
2022,oct,6,landfill,l-landfill,15280.0,mission trail,1/27/2023,1603.67,500 el camino real
2022,oct,10,landfill,l-landfill,16520.0,mission trail,1/27/2023,1639.61,500 el camino real
2022,oct,13,landfill,l-landfill,16260.0,mission trail,1/27/2023,1632.08,500 el camino real
2022,oct,17,landfill,l-landfill,15260.0,mission trail,1/27/2023,1603.09,500 el camino real
2022,oct,20,landfill,l-landfill,15200.0,mission trail,1/27/2023,1601.35,500 el camino real
2022,oct,24,landfill,l-landfill,15520.0,mission trail,1/27/2023,1610.62,500 el camino real
2022,oct,27,landfill,l-landfill,14000.0,mission trail,1/27/2023,1566.56,500 el camino real
2022,oct,31,landfill,l-landfill,6720.0,mission trail,1/27/2023,1355.51,500 el camino real
2022,oct,3,recycle,r-mixed recycling,8760.0,mission trail,1/27/2023,1600.16,500 el camino real
2022,oct,6,recycle,r-mixed recycling,9740.0,mission trail,1/27/2023,1606.04,500 el camino real
2022,oct,10,recycle,r-mixed recycling,8620.0,mission trail,1/27/2023,1599.32,500 el camino real
2022,oct,13,recycle,r-mixed recycling,9880.0,mission trail,1/27/2023,1606.88,500 el camino real
2022,oct,17,recycle,r-mixed recycling,6780.0,mission trail,1/27/2023,1588.28,500 el camino real
2022,oct,20,recycle,r-mixed recycling,8240.0,mission trail,1/27/2023,1597.04,500 el camino real
2022,oct,24,recycle,r-mixed recycling,5240.0,mission trail,1/27/2023,1579.04,500 el camino real
2022,oct,27,recycle,r-mixed recycling,8060.0,mission trail,1/27/2023,1595.96,500 el camino real
2022,oct,31,recycle,r-mixed recycling,14260.0,mission trail,1/27/2023,1633.16,500 el camino real
2022,nov,9,compost,c-yardwaste,13160.0,mission trail,1/27/2023,1107.95,500 el camino real
2022,nov,17,compost,c-yardwaste,12200.0,mission trail,1/27/2023,1084.22,500 el camino real
2022,nov,3,landfill,l-landfill,20260.0,mission trail,1/27/2023,1748.04,500 el camino real
2022,nov,7,landfill,l-landfill,15840.0,mission trail,1/27/2023,1619.9,500 el camino real
2022,nov,10,landfill,l-landfill,15700.0,mission trail,1/27/2023,1615.84,500 el camino real
2022,nov,14,landfill,l-landfill,14720.0,mission trail,1/27/2023,1587.43,500 el camino real
2022,nov,17,landfill,l-landfill,15740.0,mission trail,1/27/2023,1617.0,500 el camino real
2022,nov,21,landfill,l-landfill,13640.0,mission trail,1/27/2023,1556.12,500 el camino real
2022,nov,28,landfill,l-landfill,13320.0,mission trail,1/27/2023,1546.85,500 el camino real
2022,nov,7,recycle,r-mixed recycling,9500.0,mission trail,1/27/2023,1604.6,500 el camino real
2022,nov,10,recycle,r-mixed recycling,9400.0,mission trail,1/27/2023,1604.0,500 el camino real
2022,nov,14,recycle,r-mixed recycling,6060.0,mission trail,1/27/2023,1583.96,500 el camino real
2022,nov,17,recycle,r-mixed recycling,9300.0,mission trail,1/27/2023,1603.4,500 el camino real
2022,nov,21,recycle,r-mixed recycling,6540.0,mission trail,1/27/2023,1586.84,500 el camino real
2022,nov,28,recycle,r-mixed recycling,4900.0,mission trail,1/27/2023,1577.0,500 el camino real
2022,dec,1,compost,c-yardwaste,9240.0,mission trail,1/27/2023,1011.07,500 el camino real
2022,dec,2,compost,c-yardwaste,8860.0,mission trail,1/27/2023,1001.67,500 el camino real
2022,dec,7,compost,c-yardwaste,17060.0,mission trail,1/27/2023,1204.34,500 el camino real
2022,dec,12,compost,c-yardwaste,15820.0,mission trail,1/27/2023,1173.69,"** mission trail charged 7 weight fees and 6 box fees, no box fee for 12/12/22"
2022,dec,15,compost,c-yardwaste,15360.0,mission trail,1/27/2023,1162.32,500 el camino real
2022,dec,19,compost,c-yardwaste,12840.0,mission trail,1/27/2023,1100.04,500 el camino real
2022,dec,1,compost,c-yardwaste,9240.0,"$1,011.07",gt,1137.86,500 el camino real
2022,dec,2,compost,c-yardwaste,8860.0,"$1,001.67",gt,1137.86,500 el camino real
2022,dec,7,compost,c-yardwaste,17060.0,"$1,204.34",gt,1137.86,500 el camino real
2022,dec,12,compost,c-yardwaste,15820.0,"$1,173.69",gt,1137.86,"** mission trail charged 7 weight fees and 6 box fees, no box fee for 12/12/22"
2022,dec,15,compost,c-yardwaste,15360.0,"$1,162.32",gt,1137.86,500 el camino real
2022,dec,19,compost,c-yardwaste,12840.0,"$1,100.04",gt,1137.86,500 el camino real
2022,dec,1,landfill,l-landfill,12120.0,"$1,512.06",gt,1137.86,500 el camino real
2022,dec,5,landfill,l-landfill,12980.0,"$1,536.99",gt,1137.86,500 el camino real
2022,dec,8,landfill,l-landfill,11700.0,"$1,499.88",gt,1137.86,500 el camino real
2022,dec,12,landfill,l-landfill,13900.0,"$1,563.66",gt,1137.86,500 el camino real
2022,dec,15,landfill,l-landfill,16800.0,"$1,647.73",gt,1137.86,500 el camino real
2022,dec,19,landfill,l-landfill,7500.0,"$1,378.13",gt,1137.86,500 el camino real
2022,dec,22,landfill,l-landfill,4000.0,"$1,276.66",gt,1137.86,500 el camino real
2022,dec,1,recycle,r-mixed recycling,7920.0,"$1,595.12",gt,1137.86,500 el camino real
2022,dec,5,recycle,r-mixed recycling,5660.0,"$1,581.56",gt,1137.86,500 el camino real
2022,dec,8,recycle,r-mixed recycling,8040.0,"$1,595.84",gt,1137.86,500 el camino real
2022,dec,12,recycle,r-mixed recycling,8760.0,"$1,600.16",gt,1137.86,500 el camino real
2022,dec,15,recycle,r-mixed recycling,6520.0,"$1,586.72",gt,1137.86,500 el camino real
2022,dec,19,recycle,r-mixed recycling,3840.0,"$1,570.64",gt,1137.86,500 el camino real
2022,dec,22,recycle,r-mixed recycling,3400.0,"$1,568.00",gt,1137.86,500 el camino real
2022,dec,12,compost,c-yardwaste,15820.0,$890.27,gt,1137.86,500 el camino real
2023,mar,28,recycle,r-metal,7840.0,($524.37),gt,1137.86,cost negative because they pay us for the metal
2023,apr,4,recycle,r-metal,7140.0,($349.58),gt,1137.86,cost negative because they pay us for the metal
2023,apr,21,recycle,r-metal,4960.0,mission trail,gt,1137.86,500 el camino real
2023,jan,5,landfill,l-landfill,10220.0,"$1,456.98",gt,1137.86,500 el camino real
2023,jan,9,landfill,l-landfill,6240.0,"$1,341.60",gt,1137.86,500 el camino real
2023,jan,12,landfill,l-landfill,12340.0,"$1,518.44",gt,1137.86,500 el camino real
2023,jan,16,landfill,l-landfill,13560.0,"$1,553.80",gt,1137.86,500 el camino real
2023,jan,19,landfill,l-landfill,17120.0,"$1,657.01",gt,1137.86,500 el camino real
2023,jan,23,landfill,l-landfill,16180.0,"$1,629.76",gt,1137.86,500 el camino real
2023,jan,26,landfill,l-landfill,14980.0,"$1,594.97",gt,1137.86,500 el camino real
2023,jan,30,landfill,l-landfill,15380.0,"$1,606.57",gt,1137.86,500 el camino real
2023,jan,3,compost,c-yardwaste,10760.0,"$1,048.63",gt,1137.86,cost updated 8/25/23 lk
2023,jan,10,compost,c-yardwaste,17120.0,"$1,205.82",gt,1137.86,cost updated 8/25/23 lk
2023,jan,12,compost,c-yardwaste,13740.0,"$1,122.20",gt,1137.86,cost updated 8/25/23 lk
2023,jan,17,compost,c-yardwaste,14520.0,"$1,141.56",gt,1137.86,cost updated 8/25/23 lk
2023,jan,26,compost,c-yardwaste,11160.0,"$1,058.52",gt,1137.86,cost updated 8/25/23 lk
2023,jan,5,recycle,r-mixed recycling,8480.0,"$1,598.48",gt,1137.86,500 el camino real
2023,jan,9,recycle,r-mixed recycling,11800.0,"$1,618.40",gt,1137.86,500 el camino real
2023,jan,12,recycle,r-mixed recycling,8800.0,"$1,600.40",gt,1137.86,500 el camino real
2023,jan,16,recycle,r-mixed recycling,6160.0,"$1,584.56",gt,1137.86,500 el camino real
2023,jan,19,recycle,r-mixed recycling,8860.0,"$1,600.76",gt,1137.86,500 el camino real
2023,jan,23,recycle,r-mixed recycling,9140.0,"$1,602.44",gt,1137.86,500 el camino real
2023,jan,26,recycle,r-mixed recycling,8420.0,"$1,598.12",gt,1137.86,500 el camino real
2023,jan,30,recycle,r-mixed recycling,6920.0,"$1,589.12",gt,1137.86,500 el camino real
2023,feb,15,compost,c-foodscraps,72000.0,$154.44,gt,1137.86,500 el camino real
2023,feb,15,compost,c-organics,48600.0,$830.01,gt,1137.86,500 el camino real
2023,feb,15,recycle,r-mixed recycling,262.0,"$2,968.78",gt,1137.86,500 el camino real
2023,feb,15,landfill,l-landfill,1656.0,"$6,208.14",gt,1137.86,500 el camino real
2023,feb,1,compost,c-yardwaste,8160.0,$984.37,gt,1137.86,500 el camino real
2023,feb,7,compost,c-yardwaste,6900.0,$953.23,gt,1137.86,500 el camino real
2023,feb,14,compost,c-yardwaste,5760.0,$925.06,gt,1137.86,500 el camino real
2023,feb,20,compost,c-yardwaste,6120.0,$933.96,gt,1137.86,500 el camino real
2023,feb,27,compost,c-yardwaste,7780.0,$974.98,gt,1137.86,500 el camino real
2023,feb,2,landfill,l-landfill,17900.0,"$1,679.62",gt,1137.86,500 el camino real
2023,feb,6,landfill,l-landfill,14840.0,"$1,590.91",gt,1137.86,500 el camino real
2023,feb,9,landfill,l-landfill,14380.0,"$1,577.58",gt,1137.86,500 el camino real
2023,feb,13,landfill,l-landfill,16200.0,"$1,630.34",gt,1137.86,500 el camino real
2023,feb,16,landfill,l-landfill,14460.0,"$1,579.90",gt,1137.86,500 el camino real
2023,feb,20,landfill,l-landfill,13580.0,"$1,554.38",gt,1137.86,500 el camino real
2023,feb,22,landfill,l-landfill,12740.0,"$1,530.03",gt,1137.86,500 el camino real
2023,feb,23,landfill,l-landfill,13900.0,"$1,563.66",gt,1137.86,500 el camino real
2023,feb,27,landfill,l-landfill,13560.0,"$1,553.80",gt,1137.86,500 el camino real
2023,feb,2,recycle,r-mixed recycling,8780.0,"$1,600.28",gt,1137.86,500 el camino real
2023,feb,6,recycle,r-mixed recycling,6880.0,"$1,588.88",gt,1137.86,500 el camino real
2023,feb,9,recycle,r-mixed recycling,8740.0,"$1,600.04",gt,1137.86,500 el camino real
2023,feb,13,recycle,r-mixed recycling,7600.0,"$1,593.20",gt,1137.86,500 el camino real
2023,feb,16,recycle,r-mixed recycling,6320.0,"$1,585.52",gt,1137.86,500 el camino real
2023,feb,20,recycle,r-mixed recycling,7460.0,"$1,592.36",gt,1137.86,500 el camino real
2023,feb,23,recycle,r-mixed recycling,5700.0,"$1,581.80",gt,1137.86,500 el camino real
2023,feb,27,recycle,r-mixed recycling,8120.0,"$1,596.32",gt,1137.86,500 el camino real
2023,mar,15,compost,c-foodscraps,72000.0,$154.44,gt,1137.86,500 el camino real
2023,mar,15,compost,c-organics,48600.0,$829.71,gt,1137.86,500 el camino real
2023,mar,15,recycle,r-mixed recycling,262.0,"$2,968.78",gt,1137.86,500 el camino real
2023,mar,15,landfill,l-landfill,1656.0,"$6,208.14",gt,1137.86,500 el camino real
2023,mar,7,compost,c-yardwaste,12860.0,"$1,100.53",gt,1137.86,500 el camino real
2023,mar,10,compost,c-yardwaste,10060.0,"$1,031.33",gt,1137.86,500 el camino real
2023,mar,20,compost,c-yardwaste,10900.0,"$1,052.09",gt,1137.86,500 el camino real
2023,mar,28,compost,c-yardwaste,14960.0,"$1,152.44",gt,1137.86,500 el camino real
2023,mar,2,landfill,l-landfill,18640.0,"$1,701.07",gt,1137.86,500 el camino real
2023,mar,6,landfill,l-landfill,18740.0,"$1,703.97",gt,1137.86,500 el camino real
2023,mar,9,landfill,l-landfill,13960.0,"$1,565.40",gt,1137.86,500 el camino real
2023,mar,14,landfill,l-landfill,15520.0,"$1,610.62",gt,1137.86,500 el camino real
2023,mar,16,landfill,l-landfill,13940.0,"$1,564.82",gt,1137.86,500 el camino real
2023,mar,20,landfill,l-landfill,14280.0,"$1,574.68",gt,1137.86,500 el camino real
2023,mar,23,landfill,l-landfill,15600.0,"$1,612.94",gt,1137.86,500 el camino real
